Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Терещенко,Богуслав,Петрович,Чоловіча,1991-04-30,Будник,хутір Маріуполь,"парк Камишова, буд. 63 кв. 23, Бориспіль, 62629",+380 57 063 95 24,dbarabash@example.net
Михайличенко,Богуслав,Іванович,Чоловіча,1968-08-07,Режисер,хутір Подільськ,"проспект Бориса Кифоренка, буд. 83 кв. 4, Глухів, 99604",+380 54 007-60-62,bohdan37@example.net
Адамчук,Святослав,Олександрович,Чоловіча,1991-10-25,Ді-джей,село Старий Крим,"узвіз Скляний 1-й, буд. 4 кв. 70, Скадовськ, 99472",004 012-20-05,veniiamyn69@example.com
Тичина,Франц,Петрович,Чоловіча,1939-01-23,Режисер,місто Кіцмань,"сквер Авангардна, буд. 39 кв. 89, Бунге, 48743",502-92-54,zatulaliubov@example.org
Гречаник,Леонтій,Юрійович,Чоловіча,1943-11-17,Флорист,місто Костянтинівка,"проспект Грузинська, буд. 952 кв. 6, Хрестівка, 48283",+380 10 483-46-41,obezditko@example.org
Самойленко,Болеслав,Андрійович,Чоловіча,1986-02-08,Епідеміолог,селище Куп'янськ,"парк Отонівський, буд. 699 кв. 435, Хотин, 63814",+380 (45) 993-38-83,knalyvaiko@example.com
Пелех,Євген,Володимирович,Чоловіча,2008-07-14,Петрограф,селище Кіцмань,"провулок Наявний 7-й, буд. 66, Стебник, 89299",+380 (14) 041-00-49,marusiatsarenko@example.com
Бабко,Устим,Іванович,Чоловіча,1947-02-10,Композитор,хутір Дружківка,"площа Георгія Липського, буд. 12, Амвросіївка, 31301",857-35-52,iaroslaviurchenko@example.com
Шамрай,Єфрем,Володимирович,Чоловіча,1959-09-24,Дантист,село Березівка,"набережна Військовий узвіз, буд. 1 кв. 9, Новоселиця, 80620",+380 24 381-40-53,petrenkozlatoslava@example.net
Василевич,Стефан,Сергійович,Чоловіча,1996-04-09,Будник,місто Балта,"шосе Йозефа Прибіка, буд. 22, Берестечко, 78089",+380 14 037-04-30,leibozhenko@example.org
Бабʼюк,Болеслав,Андрійович,Чоловіча,1992-05-18,Льотчик,місто Родинське,"парк Сотника Лугіна, буд. 15, Радехів, 94882",075 814-95-92,ttsushko@example.com
Дуплій,Азар,Володимирович,Чоловіча,1998-01-04,Живописець,хутір Хуст,"узвіз Сергія Ядова, буд. 1 кв. 46, Решетилівка, 52245",034 699 69 99,pustenko@example.org
Скоробогатько,Богдан,Іванович,Чоловіча,1983-10-28,Підприємець,місто Оріхів,"шосе Топольського, буд. 8, Середина-Буда, 09302",288 80 50,iarynakalenychenko@example.net
Чайка,Лесь,Олександрович,Чоловіча,1999-03-20,Інженер,село Дніпрорудне,"площа Хаджибейський 2-й, буд. 28, Вараш, 90327",061 03 50,illia14@example.org
Овсієнко,Андрій,Іванович,Чоловіча,1953-10-26,Фармацевт,хутір Зимогір'я,"площа Мала, буд. 175 кв. 250, Здолбунів, 95813",014 373 04 41,xreva@example.com
Ткаченко,Охрім,Юрійович,Чоловіча,1955-08-25,Ді-джей,село Київ,"сквер Радісна, буд. 5 кв. 9, Моршин, 74862",+380 (13) 510-86-14,ntymchenko@example.com
Андріїшин,Теодор,Богданович,Чоловіча,1967-11-11,Письменник,місто Перечин,"сквер Килимова, буд. 1, Тернопіль, 55137",+380 56 725-74-73,iaroslavatamanchuk@example.org
Мазур,Едуард,Сергійович,Чоловіча,1978-05-06,Різноробочий,хутір Пустомити,"вулиця Кільовий, буд. 00 кв. 563, Міусинськ, 65803",+380 65 886 23 96,olha46@example.org
Гаврилець,Мартин,Юрійович,Чоловіча,1981-08-28,Фізик,село Васильків,"набережна Успенський, буд. 9 кв. 1, Гнівань, 86645",+380 89 125 38 80,leon96@example.net
Арсенич,Тарас,Володимирович,Чоловіча,1990-02-15,Музикант,хутір Бучач,"узвіз Бахчева, буд. 501, Бурштин, 37291",+380 76 805-10-03,avhustynvlasiuk@example.net
Кащенко,Олег,Олександрович,Чоловіча,1978-06-15,Локсмайстер,місто Вуглегірськ,"парк Іванівський переїзд, буд. 262, Рогатин, 04837",+380 02 900-68-98,ptychyna@example.org
Сімашкевич,Гаврило,Юрійович,Чоловіча,1940-03-06,Круп'є,село Харцизьк,"парк Хутірський, буд. 33, Канів, 08737",056 585 14 48,taronets@example.net
Юрченко,Пилип,Юрійович,Чоловіча,1953-04-06,Публіцист,місто Вуглегірськ,"проспект Біржова, буд. 7 кв. 69, Заводське, 73034",581 15 52,babiakvioletta@example.com
Салій,Іван,Петрович,Чоловіча,2006-05-10,Фармацевт,село Ладижин,"сквер Буковинська, буд. 08, Дніпрорудне, 06505",506 49 73,aaron19@example.org
Назаренко,Володимир,Петрович,Чоловіча,1963-06-03,Живописець,місто Горішні Плавні,"шосе Василя Симоненка, буд. 7 кв. 373, Переяслав, 15683",024 948-20-55,vakulenkoles@example.net
Адаменко,Святослав,Андрійович,Чоловіча,2003-05-26,Круп'є,місто Павлоград,"проспект Різовська, буд. 2 кв. 89, Костянтинівка, 92548",+380 (87) 955-07-50,cmykhailiuk@example.com
Мамчур,Ярослав,Сергійович,Чоловіча,1976-07-29,Візажист,хутір Ладижин,"проспект Дукова, буд. 915, Сіверськодонецьк, 25759",+380 05 064-27-00,azar08@example.com
Аврамчук,Вʼячеслав,Андрійович,Чоловіча,1990-12-16,Композитор,хутір Красноперекопськ,"шосе Вапняна, буд. 12, Вознесенівка, 52132",+380 61 590-52-43,onysymshvachko@example.org
Ярема,Василь,Андрійович,Чоловіча,1955-09-30,Намотувальник,хутір Буча,"сквер Будівельна, буд. 13 кв. 6, Свалява, 55828",085 367 64 32,rubaniryna@example.com
Атаманчук,Демʼян,Богданович,Чоловіча,1947-08-23,Художник,селище Апостолове,"провулок Залізнична, буд. 675, Перещепине, 26506",000 465 67 39,bohdan76@example.com
Мазур,Тарас,Іванович,Чоловіча,1945-10-27,Конструктор,хутір Бобровиця,"парк Карантинна, буд. 83, Баштанка, 34929",+380 03 274-68-68,bchornovil@example.net
Гупало,Володимир,Михайлович,Чоловіча,2000-08-30,Бібліотекар,місто Моршин,"площа Старопортофранківська, буд. 1, Златопіль, 97976",+380 (26) 359-41-57,kashchenkotymofii@example.org
Рябець,Ілля,Петрович,Чоловіча,1971-09-05,Дипломат,хутір Татарбунари,"вулиця Кастуся Калиновського, буд. 3 кв. 7, Хоростків, 76387",+380 78 508-11-15,irena04@example.net
Демʼянюк,Левко,Петрович,Чоловіча,1952-06-09,Фотограф,хутір Дубно,"вулиця Нова, буд. 6, Голубівка, 98694",+380 42 111 43 21,haidaburamykhailyna@example.com
Сацюк,Трохим,Богданович,Чоловіча,1964-11-07,Сантехнік,хутір Рені,"провулок Бернардацці, буд. 907 кв. 35, Дружківка, 46795",+380 (66) 646-41-83,iustynakarmaliuk@example.org
Цюпа,Максим,Олександрович,Чоловіча,2004-03-05,Кур'єр,хутір Зміїв,"провулок Новиков міст, буд. 494, Кілія, 87542",+380 50 699-39-07,sbaran@example.org
Демиденко,Богдан,Володимирович,Чоловіча,1973-02-20,Мистецтвознавець,хутір Татарбунари,"провулок Павла Клепацького, буд. 5, Шахтарське, 85130",051 498-70-14,lukian41@example.net
Смик,Єлисей,Богданович,Чоловіча,1963-03-22,Кухар,хутір Деражня,"парк Глухівський, буд. 561 кв. 259, Авдіївка, 37585",+380 73 203-98-99,zlatoslavapetrenko@example.com
Бандурка,Ілля,Михайлович,Чоловіча,1981-12-02,Няня,місто Винники,"шосе Прохоровська, буд. 25, Подільськ, 60247",+380 73 658-11-49,serhiivitruk@example.com
Гавриш,Демʼян,Богданович,Чоловіча,1942-01-05,Бібліотекар,селище Роздільна,"шосе Гайова, буд. 29 кв. 478, Кам'янка (Черкаська область), 28383",130-37-88,vadymoliinyk@example.com
